ID,ChainID,ParentID,Ticker,FechaApertura,Expiry,Estrategia,Setup,Tags,Side,OptionType,Strike,Delta,PrimaRecibida,CostoCierre,Contratos,BuyingPower,BreakEven,BreakEven_Upper,POP,Estado,Notas,UpdatedAt,FechaCierre,MaxProfitUSD,ProfitPct,PnL_Capital_Pct,PrecioAccionCierre,PnL_USD_Realizado,EarningsDate,Comisiones
3d55a1b0,da0ce9e8,,NFLX,2026-01-21,2026-02-20,CSP (Cash Secured Put),Otro,,Sell,Put,90.0,0.33,4.46,6.58,1,9000.0,85.54,0.0,100.0,Rolada,"=> 82,5 52WL nada
<78 Roll pasados 3 dias  o roll down siempre con credito e intentar mismo strike
Haberle convertido en Bull Put Credit Spread?

",2026-02-27T20:02:00,2026-01-30 00:00:00,446.0,100.0,4.955555555555556,0.0,-212.0,,0.0
179d3cbc,e3bb4df7,,BAC,2026-01-21,2026-03-20,CSP (Cash Secured Put),Otro,,Sell,Put,50.0,0.2,0.74,0.35,1,5000.0,49.26,0.0,100.0,Cerrada,De momento OTM,2026-02-27T20:02:00,2026-02-06 17:39:48,74.0,100.0,1.48,56.26,39.0,,0.0
a42ce11d,c41a4278,,JBLU,2026-01-27,2026-02-20,CSP (Cash Secured Put),Otro,,Sell,Put,4.5,0.3,0.21,5.0,2,858.0,4.29,0.0,70.0,Cerrada,PRICE 4.7 | CIERRE (2026-01-29): Cerrado al open Ganacias 16$ 38%aprox,2026-02-27T20:02:00,2026-01-29 00:00:00,4200.0,76.19047619047619,372.9603729603729,5.0,16.0,,0.0
9a1629f2,8b4b030b,,ONDS,2026-01-29,2026-03-13,CSP (Cash Secured Put),Otro,,Sell,Put,9.5,0.77,0.91,0.0,1,950.0,9.49,0.0,0.0,Abierta,Parte de CSP (Cash Secured Put),2026-02-27T20:02:00,,91.0,0.0,0.0,0.0,0.0,,0.0
7f99d992,111d6c0d,3d55a1b0,NFLX,2026-01-30,2026-02-27,CSP (Cash Secured Put),Earnings,,Sell,Put,90.0,0.77,7.24,8.34,1,9000.0,79.81,0.0,0.0,Rolada,"Roll desde da0ce9e8
perdidas: (-212) + ( -110)
total de perdidas -322$ 
$8.41 de prima actual - $3.22 de pérdida acumulada = BE Total: 5.19$ x contrato = 0$
Cuando valga 4.00 habré ganado un 1% mensual 
",2026-02-27T20:02:00,2026-02-06 00:00:00,724.0,-15.193370165745856,0.0,82.0,-110.0,,0.0
5759bfe3,2ac137ff,,ONDS,2026-01-30,2026-03-06,Put Credit Spread,Soporte/Resistencia,,Sell,Put,9.0,0.29,0.34,0.18,1,900.0,8.66,0.0,71.0,Cerrada,Parte de Put Credit Spread [LECCIÓN] 50% profits,2026-02-27T20:02:00,2026-02-19 16:05:34,34.0,47.058823529411775,1.777777777777778,0.0,16.000000000000004,2026-03-11,0.0
781012de,2ac137ff,,ONDS,2026-01-30,2026-03-06,Put Credit Spread,Soporte/Resistencia,,Buy,Put,8.0,-0.18,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,Parte de Put Credit Spread [LECCIÓN] 50% profits,2026-02-27T20:02:00,2026-02-19 16:05:34,0.0,0.0,0.0,0.0,0.0,2026-03-11,0.0
22c273b3,9b7da2c3,7f99d992,NFLX,2026-02-06,2026-06-18,CSP (Cash Secured Put),Earnings,,Sell,Put,85.0,51.7,8.41,3.65,1,8500.0,76.59,0.0,-5070.0,Cerrada,"Roll parcial desde 111d6c0d [LECCIÓN] News: Abadona el pujar por WarnerBros y subió a 95.
22% profits anual. 
1.8%mensual",2026-02-27T20:02:00,2026-02-27 00:00:00,841.0,56.59928656361475,5.6000000000000005,0.0,476.0,2026-04-16,0.0
6f259b49,65fbdc59,,SPX,2026-02-10,2026-02-10,Iron Condor,Reversión,,Buy,Put,6935.0,0.0,255.0,2.3,1,1000.0,0.0,0.0,0.0,Cerrada,DIA DE GAMMA POSITIVA 25$ PROFITS ,2026-02-27T20:02:00,2026-02-10 18:10:12,25500.0,0.0,0.0,0.0,25.0,,0.0
aa849b31,65fbdc59,,SPX,2026-02-10,2026-02-10,Iron Condor,Reversión,,Buy,Call,7000.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,DIA DE GAMMA POSITIVA 25$ PROFITS ,2026-02-27T20:02:00,2026-02-10 18:10:12,0.0,0.0,0.0,0.0,0.0,,0.0
16900cef,65fbdc59,,SPX,2026-02-10,2026-02-10,Iron Condor,Reversión,,Sell,Put,6945.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,DIA DE GAMMA POSITIVA 25$ PROFITS ,2026-02-27T20:02:00,2026-02-10 18:10:12,0.0,0.0,0.0,0.0,0.0,,0.0
4b69db01,65fbdc59,,SPX,2026-02-10,2026-02-10,Iron Condor,Reversión,,Sell,Call,6990.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,DIA DE GAMMA POSITIVA 25$ PROFITS ,2026-02-27T20:02:00,2026-02-10 18:10:12,0.0,0.0,0.0,0.0,0.0,,0.0
30b6ed8f,6886f56d,,SPX,2026-02-12,2026-02-12,Call Debit Spread,Reversión,,Buy,Call,6895.0,0.0,6.6,5.6,1,0.0,6901.6,0.0,0.0,Cerrada,Parte de Call Debit Spread,2026-02-27T20:02:00,2026-02-12 19:15:28,660.0,-15.151515151515152,0.0,0.0,-100.0,,0.0
0bb3b006,6886f56d,,SPX,2026-02-12,2026-02-12,Call Debit Spread,Reversión,,Sell,Call,6915.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,Parte de Call Debit Spread,2026-02-27T20:02:00,2026-02-12 19:15:28,0.0,0.0,0.0,0.0,0.0,,0.0
1078863c,374db3fe,,SPX,2026-02-12,2026-02-12,Call Debit Spread,Reversión,,Buy,Call,6860.0,0.0,6.95,7.2,1,0.0,6866.95,0.0,0.0,Cerrada,"Parte de Call Debit Spread [LECCIÓN] MOVIMIENTOS MUY RAPIDOS DE REVERSION A LA MEDIA EN REVERSAL  , CON GAMMA POSITIVA, ENTENDER XKE ESOS STRIKES.",2026-02-27T20:02:00,2026-02-12 19:15:41,695.0,3.597122302158273,0.0,0.0,25.0,,0.0
ef3a4276,374db3fe,,SPX,2026-02-12,2026-02-12,Call Debit Spread,Reversión,,Sell,Call,6875.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Cerrada,"Parte de Call Debit Spread [LECCIÓN] MOVIMIENTOS MUY RAPIDOS DE REVERSION A LA MEDIA EN REVERSAL  , CON GAMMA POSITIVA, ENTENDER XKE ESOS STRIKES.",2026-02-27T20:02:00,2026-02-12 19:15:41,0.0,0.0,0.0,0.0,0.0,,0.0
190be46a-2ec8-44dc-95ae-33cf56d9e1d5,b9e9f2b0,,IWM,2026-02-17,2026-03-20,Put Credit Spread,Otro,,Sell,Put,250.0,0.2,0.19,0.0,1,80.0,249.8,0.0,100.0,Abierta,Parte de Put Credit Spread,2026-02-27T20:02:00,,19.0,0.0,0.0,0.0,0.0,,0.0
7a9af940-d08d-4fc7-a369-347f5c06a4ea,b9e9f2b0,,IWM,2026-02-17,2026-03-20,Put Credit Spread,Otro,,Buy,Put,249.0,0.0,0.0,0.0,1,0.0,249.8,0.0,100.0,Abierta,Parte de Put Credit Spread,2026-02-27T20:02:00,,19.0,0.0,0.0,0.0,0.0,,0.0
aad4c4a5-52c3-4345-93ee-22fdd74ed745,d689550f,,SPY,2026-02-17,2026-02-20,Iron Condor,Soporte/Resistencia,,Sell,Put,670.0,0.25,0.21,0.12,1,78.0,697.22,669.78,100.0,Cerrada,Parte de Iron Condor [LECCIÓN] mini operacion al 50% profit de 3 dias,2026-02-27T20:02:00,2026-02-18 21:31:07,21.0,42.85714285714285,11.538461538461538,0.0,9.0,,0.0
dedde5b0-cd89-4734-865d-6deb50b7d0ef,d689550f,,SPY,2026-02-17,2026-02-20,Iron Condor,Soporte/Resistencia,,Buy,Put,669.0,0.0,0.0,0.0,1,0.0,697.22,669.78,100.0,Cerrada,Parte de Iron Condor [LECCIÓN] mini operacion al 50% profit de 3 dias,2026-02-27T20:02:00,2026-02-18 21:31:07,21.0,0.0,0.0,0.0,0.0,,0.0
a2d92c1b-0817-4cff-a5f9-1795316c41cb,d689550f,,SPY,2026-02-17,2026-02-20,Iron Condor,Soporte/Resistencia,,Sell,Call,697.0,0.0,0.0,0.0,1,0.0,697.22,669.78,100.0,Cerrada,Parte de Iron Condor [LECCIÓN] mini operacion al 50% profit de 3 dias,2026-02-27T20:02:00,2026-02-18 21:31:07,21.0,0.0,0.0,0.0,0.0,,0.0
2168bf15-d268-4b7a-8f47-9f49642c9058,d689550f,,SPY,2026-02-17,2026-02-20,Iron Condor,Soporte/Resistencia,,Buy,Call,698.0,0.0,0.0,0.0,1,0.0,697.22,669.78,100.0,Cerrada,Parte de Iron Condor [LECCIÓN] mini operacion al 50% profit de 3 dias,2026-02-27T20:02:00,2026-02-18 21:31:07,21.0,0.0,0.0,0.0,0.0,,0.0
e712625d-03d2-4bc5-abf1-069c16ab8fc7,46b0e5d2,,QQQ,2026-02-17,2026-04-17,Iron Condor,Otro,,Sell,Put,545.0,0.3,1.22,0.0,1,375.0,543.75,656.25,100.0,Abierta,Parte de Iron Condor,2026-02-27T20:02:00,,122.0,0.0,0.0,0.0,0.0,,0.0
c59f79fe-6969-4ae3-96ba-843963bfa036,46b0e5d2,,QQQ,2026-02-17,2026-04-17,Iron Condor,Otro,,Buy,Put,540.0,0.0,0.0,0.0,1,0.0,543.75,656.25,100.0,Abierta,Parte de Iron Condor,2026-02-27T20:02:00,,122.0,0.0,0.0,0.0,0.0,,0.0
